CustomerKey,GeoAreaKey,StartDT,EndDT,Continent,Gender,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,Birthday,Age,Occupation,Company,Vehicle,Latitude,Longitude
34488,8,2006-10-07,2044-07-22,Australia,male,Mr.,George,C,Nicholas,85 Cubbine Road,South Bodallin,WA,Western Australia,6424,AU,Australia,1955-06-22,65,Information processing worker,Blockbuster Music,2011 Daewoo Tocsa,-31.413437,118.900135
59901,2,1984-07-02,2031-01-07,Australia,male,Mr.,Dylan,S,Zox,49 Carolina Park Road,Blue Bay,NSW,New South Wales,2261,AU,Australia,1974-05-26,46,Emergency care nurse,Planet Profit,1999 Peugeot 406,-33.290175,151.438404
118460,5,1987-12-08,2042-08-06,Australia,male,Mr.,Hudson,S,Arscott,76 Sunnyside Road,Pooginook,SA,South Australia,5330,AU,Australia,1935-11-28,85,Spray machine operator,Perisolution,2010 Peugeot 307,-34.082418,139.946648
121335,7,1994-11-08,2044-12-30,Australia,female,Ms.,Alexis,F,Kisch,94 Gaffney Street,Frankston South,VIC,Victoria,3199,AU,Australia,1974-11-14,46,Coatroom attendant,Rex Audio Video Appliance,2004 Hyundai Santa Fe,-38.072456,145.069277
169617,2,1982-09-27,2034-01-12,Australia,female,Mrs.,Bianca,K,Sato,80 Wynyard Street,Goobarragandra,NSW,New South Wales,2720,AU,Australia,1972-04-10,48,Tire changer,University Stereo,2007 Jeep Wrangler,-35.583925,148.446255
170989,2,2010-10-01,2026-11-15,Australia,male,Mr.,Andrew,E,Summerville,4 Albacore Crescent,Bong Bong,NSW,New South Wales,2576,AU,Australia,1992-06-29,28,Bench carpenter,Rogersound Labs,2015 Audi S8,-34.513866,150.557409
185183,7,1992-03-09,2042-09-04,Australia,male,Mr.,William,G,Meldrum,87 Normans Road,Wando Vale,VIC,Victoria,3312,AU,Australia,1943-01-09,78,"Carpet, floor, and tile installer",Excella,1999 Bugatti EB 18-3 Chiron,-37.457663,141.174276
189727,7,1990-02-14,2036-10-15,Australia,female,Ms.,Paige,A,Cosh,7 Normans Road,Strathdownie,VIC,Victoria,3312,AU,Australia,1963-02-10,57,Limousine driver,County Seat,2001 Porsche GT2,-37.590717,141.236054
216274,19,1992-11-13,2035-12-19,North America,male,Dr.,Mark,H,Watkins,4443 rue des Églises Est,Beaucanton,QC,Quebec,J0Z 1H0,CA,Canada,1964-09-15,56,Diesel mechanic,CSK Auto,2011 Mercedes-Benz Sprinter,49.056002,-79.291159
221408,9,1981-04-07,2031-09-18,North America,male,Mr.,Jeffrey,L,Watson,3626 Galts Ave,Red Deer,AB,Alberta,T4N 2A6,CA,Canada,1984-10-03,36,Assistant cook,De-Jaiz Mens Clothing,1998 Isuzu VehiCross,52.237719,-113.812526
273121,10,2007-08-16,2033-10-19,North America,female,Mrs.,Eve,N,Villegas,255 Hastings Street,Vancouver,BC,British Columbia,V6C 1B4,CA,Canada,1972-05-23,48,Electric line worker,Gamma Grays,2007 Daihatsu Copen,49.261431,-123.096165
289107,17,1990-03-23,2035-03-26,North America,female,Ms.,Judy,W,Soler,781 Pitt St,Cornwall,ON,Ontario,K6J 3R2,CA,Canada,1979-07-28,41,Material dispatching,Body Toning,2002 Porsche 911,45.049246,-74.678476
457786,25,1995-06-02,2033-04-20,Europe,female,Mrs.,Lea,J,Herz,Langenhorner Chaussee 22,Laufen,BY,Freistaat Bayern,83407,DE,Germany,1939-05-15,81,Playwright,Custom Sound,1999 Daewoo Leganza,48.01835,12.904052
482615,25,1985-06-23,2035-12-08,Europe,male,Mr.,Sven,C,Junker,Rathausstrasse 52,Fürth,BY,Freistaat Bayern,90705,DE,Germany,1978-12-05,42,Ophthalmologist,Accord Investments,2012 Volkswagen GTI,48.691044,12.098367
503738,31,1986-01-24,2040-09-27,Europe,female,Ms.,Angelika,K,Kuster,Leipziger Strasse 98,Bielefeld Oldentrup,NW,Nordrhein-Westfalen,33719,DE,Germany,1989-05-04,31,Physician,Hudson's MensWear,1996 Acura RL,52.062542,8.675574
530654,27,1997-08-12,2033-05-20,Europe,male,Dr.,Alexander,G,Metzger,Scharnweberstrasse 68,Bruchköbel,HE,Hessen,63486,DE,Germany,1991-06-18,29,Exercise instructor,Channel Home Centers,2011 BMW 750,50.083177,8.983807
539769,28,2004-12-21,2039-09-05,Europe,female,Ms.,Lisa,D,Maur,Fasanenstrasse 24,Hamburg Rissen,HH,Hamburg,22587,DE,Germany,1951-07-02,69,Credit investigator,Strategy Consulting,1996 BMW 525,53.514295,9.889819
593725,25,1990-02-28,2039-02-05,Europe,female,Ms.,Christina,M,Faerber,Luebecker Strasse 17,Riedbach,BY,Freistaat Bayern,97519,DE,Germany,1968-09-09,52,Staff manager,Audio Visions,2007 Dacia Sandero,50.017698,10.522887
623789,56,1998-04-24,2040-09-11,Europe,female,Mrs.,Avelaine,W,Lafontaine,20 Place de la Gare,Colomiers,MP,Midi-Pyrénées,31770,FR,France,1980-02-21,40,Computer database administrator,Millenia Life,1998 Citroen Berlingo,43.551506,1.291477
635622,51,1995-06-11,2040-11-04,Europe,male,Mr.,Frontino,P,Denis,42 rue des Soeurs,La Celle-Saint-Cloud,IL,Île-de-France,78170,FR,France,1991-08-01,29,Ironworker,Rich and Happy,2004 Mazda MX-5 Miata,48.936702,2.165591
711329,551,2010-03-24,2040-12-23,Europe,female,Ms.,Elisabetta,N,Marcelo,Via Giotto 72,Terranegra,VR,Verona,37040,IT,Italy,1996-02-24,24,Foot doctor,Future Plan,2005 Volkswagen Fox,45.139971,11.378815
731890,460,1988-09-08,2028-04-18,Europe,female,Ms.,Ornella,F,Romano,Via Licola Patria 16,San Nicola Baronia,AV,Avellino,83050,IT,Italy,1994-12-14,26,Upholsterer,Custom Lawn Service,1995 Rover 200,40.973347,15.288182
